SCATS Number,Location,Date,Lane Points
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,3
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,13
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,16
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,35
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,52
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,54
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,50
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,104
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,97
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,117
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,96
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,121
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,102
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,121
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,100
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,80
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,75
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,74
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,80
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,71
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,80
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,65
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,69
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,64
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,68
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,49
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,70
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,78
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,70
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,72
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,71
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,96
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,78
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,81
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,72
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,73
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,75
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,65
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,77
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,104
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,132
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,99
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,103
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,90
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,118
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,107
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,89
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,100
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,126
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,120
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,116
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,92
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,91
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,89
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,72
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,60
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,68
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,48
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,48
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,45
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,38
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,37
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,38
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,28
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,26
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,25
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,35
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,25
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,18
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,18
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,17
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,9
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,10
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,15
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,10
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,3
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,0
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,3
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,2
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,3
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-03 00:30:00,3
