SCATS Number,Location,Date,Lane Points
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,171
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,168
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,185
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,179
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,182
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,173
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,192
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,171
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,202
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,174
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,176
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,186
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,183
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,176
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,189
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,220
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,220
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,188
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,202
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,207
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,232
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,184
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,222
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,234
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,249
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,244
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,250
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,278
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,330
